title,release_year,imdb_id,imdb_score
A Christmas Catch,2018,N/A_Not_Found,N/A_Not_Found
A Christmas Prince,2017,tt7608418,5.8
A Christmas Prince: The Royal Baby,2019,tt10006006,5.4
A Christmas Prince: The Royal Wedding,2018,tt8709036,5.3
A Christmas Special: Miraculous: Tales of Ladybug & Cat Noir,2016,N/A_Not_Found,N/A_Not_Found
A Cinderella Story,2004,tt0356470,5.9
A Cinderella Story: Christmas Wish,2019,tt10326928,5.3
A Classic Horror Story,2021,tt12877640,5.7
A Clockwork Orange,1971,tt0066921,8.2
A Dangerous Woman,1993,tt0106661,5.7
A Fairly Odd Summer,2014,tt3149536,3.7
A Fall from Grace,2020,tt11390036,5.9
A Family,2021,tt19845068,N/A
A Family Affair,2015,tt4653186,7.1
A Family Man,2016,tt1718924,6.5
A Family Reunion Christmas,2019,tt11193888,5.8
A Faraway Land,2020,N/A_Not_Found,N/A_Not_Found
A Flying Jatt,2016,tt5235880,3.1
A Fortunate Man,2018,tt8436026,7.2
A Futile and Stupid Gesture,2018,tt5566790,6.7
A Ghost Story,2017,tt6265828,6.8
A Glimpse Inside the Mind of Charles Swan III,2012,tt2044729,4.6
A Go! Go! Cory Carson Christmas,2020,tt13479662,6.4
A Go! Go! Cory Carson Halloween,2020,tt13058374,6.2
A Go! Go! Cory Carson Summer Camp,2020,N/A_Not_Found,N/A_Not_Found
A Good Wife,2013,tt3983112,7.6
A Grand Night In: The Story of Aardman,2015,tt5304980,7.5
A Gray State,2017,tt6794380,6.2
A Haunted House,2013,tt2243537,5.1
A Haunted House 2,2014,tt2828996,4.7
A Haunting at Silver Falls: The Return,2019,tt6170262,3.2
A Heavy Heart,2015,tt3296980,7.1
A Holiday Engagement,2011,N/A_Not_Found,N/A_Not_Found
A Home with A View,2019,tt8443432,6.0
A House of Blocks,2017,N/A_Not_Found,N/A_Not_Found
A Kid from Coney Island,2019,tt9567112,7.0
A Kind of Murder,2016,tt2726552,5.3
A Korean Odyssey,2017,tt7099334,7.9
A Land Imagined,2019,N/A_Not_Found,N/A_Not_Found
A Leaf of Faith,2018,tt8412232,7.2
A Life of Speed: The Juan Manuel Fangio Story,2020,tt6668212,7.0
A Lion in the House,2006,tt0492472,8.8
A Little Chaos,2014,tt2639254,6.5
A Little Help with Carol Burnett,2018,tt7204366,6.2
A Little Thing Called First Love,2019,tt11152058,7.6
A Love So Beautiful,2020,tt13642264,7.2
A Love Song for Latasha,2020,N/A_Not_Found,N/A_Not_Found
A Love Story,2007,tt0990433,6.5
A Man Called God,2010,tt2060590,6.3
A Man For The Week End,2018,N/A_Not_Found,N/A_Not_Found
A Mighty Team,2016,N/A_Not_Found,N/A_Not_Found
A Mission in an Old Movie,2012,N/A_Not_Found,N/A_Not_Found
A Monster Calls,2016,tt3416532,7.4
A Most Violent Year,2014,tt2937898,6.9
A Murder in the Park,2014,tt3168808,7.3
A new Capitalism,2017,tt8262374,6.3
A New York Christmas Wedding,2020,tt10768194,5.4
A Night at the Roxbury,1998,tt0120770,6.2
A Noble Intention,2015,N/A_Not_Found,N/A_Not_Found
A Patch of Fog,2015,tt2181282,6.5
A Perfect Crime,2020,tt12939836,7.3
A Perfect Day For Arsenide,2019,N/A_Not_Found,N/A_Not_Found
A Perfect Ending,2012,tt1823059,5.6
A Perfect Fit,2021,tt13606090,5.4
A Perfect Man,2013,tt2275471,5.2
A Place in the Stars,2014,tt3522136,6.6
A Plastic Ocean,2016,tt5203824,8.0
A Princess for Christmas,2011,tt1083448,6.3
A Private War,2018,tt2368254,6.7
A Queen Is Born,2020,tt12571792,6.2
A Remarkable Tale,2019,tt8296660,5.4
A Russell Peters Christmas,2011,tt2128408,4.2
A Scandall,2016,tt5780570,3.1
A Second Chance,2015,tt5226380,7.1
A Second Chance:  Rivals!,2021,N/A_Not_Found,N/A_Not_Found
A Secret Love,2020,tt3260524,7.8
A Separation,2011,tt1832382,8.3
A Series of Unfortunate Events,2019,tt27031122,N/A
A Serious Man,2009,tt1019452,7.0
A Shaun the Sheep Movie: Farmageddon,2019,tt6193408,6.8
A Silent Voice,2016,tt5323662,8.1
A Single Man,2009,tt1315981,7.5
A Sort of Family,2017,tt6386168,6.3
A Sort of Homecoming,2015,tt3303652,5.6
A Stoning in Fulham County,1988,tt0096179,5.9
A StoryBots Christmas,2017,tt7018722,6.1
A StoryBots Space Adventure,2021,tt15166478,N/A
A Sun,2019,tt10883506,7.6
A Taiwanese Tale of Two Cities,2018,N/A_Not_Found,N/A_Not_Found
A Tale of Love and Darkness,2015,tt1135989,6.0
A Tale of Two Kitchens,2019,tt10243660,6.3
A Thin Line Between Love & Hate,1996,N/A_Not_Found,N/A_Not_Found
A Thousand Goodnights,2019,tt10370952,7.1
A Thousand Words,2012,tt0763831,5.9
A Touch of Green,2016,N/A_Not_Found,N/A_Not_Found
A Trash Truck Christmas,2020,tt13458584,5.7
A Trip to Jamaica,2016,tt6334740,5.0
A truthful Mother,2020,N/A_Not_Found,N/A_Not_Found
A Twelve Year Night,2018,tt6792282,7.5
A Very Country Christmas,2017,tt7001906,6.1
A Very Murray Christmas,2015,tt4537842,5.5
A Very Secret Service,2018,N/A_Not_Found,N/A_Not_Found
A Very Special Love,2008,tt1243381,6.5
A Walk to Remember,2002,tt0281358,7.3
A Way Back Home,2020,N/A_Not_Found,N/A_Not_Found
A Wednesday,2008,tt1280558,8.1
A Week Away,2021,tt11388278,5.8
A Week in Watts,2017,N/A_Not_Found,N/A_Not_Found
A Whisker Away,2020,tt11958344,6.7
A Witches' Ball,2017,tt5814408,5.1
A Wrinkle in Time,2018,tt1620680,4.3
A Year In Space,2015,tt5428494,7.3
A Yellow Bird,2016,tt5709164,5.4
A.D. Kingdom and Empire,2015,N/A_Not_Found,N/A_Not_Found
A.I.C.O.,2018,tt8116380,6.3
A.M.I.,2019,tt8712750,3.9
A.X.L.,2018,N/A_Not_Found,N/A_Not_Found
Aadu 2,2017,N/A_Not_Found,N/A_Not_Found
Aagey Se Right,2009,tt1479667,5.2
Aajcha Divas Majha,2013,N/A_Not_Found,N/A_Not_Found
Aakhri Adaalat,1988,tt0177505,5.1
Aalorukkam,2018,tt8066304,6.5
Aamir,2008,tt1241195,7.6
Aapla Manus,2018,tt7867076,6.9
Aarakshan,2011,tt1848771,6.2
Aashayein,2010,tt1227524,7.1
Aashik Awara,1993,N/A_Not_Found,N/A_Not_Found
Aata Pita,2010,tt2606526,7.1
Aaviri,2019,tt10081210,3.6
Abby Hatcher,2019,tt10994648,N/A
Abby Sen,2015,tt5012994,5.9
ABCD 2,2015,tt6049376,N/A
ABCD: Any Body Can Dance,2013,tt2321163,6.3
Abdo Mota,2012,N/A_Not_Found,N/A_Not_Found
Abducted in Plain Sight,2017,tt3444312,6.8
"Abdullah, The Final Witness",2016,N/A_Not_Found,N/A_Not_Found
Abhinetri,2016,tt6106494,6.0
Abla Fahita: Drama Queen,2021,tt11570224,6.5
Abnormal Summit,2017,N/A_Not_Found,N/A_Not_Found
Abominable Christmas,2012,tt2445310,5.3
About a Boy,2002,tt0276751,7.1
About Time,2013,tt2194499,7.8
Abstract: The Art of Design,2019,N/A_Not_Found,N/A_Not_Found
Absurd Planet,2020,tt12027008,4.0
Abyss,2019,tt10055734,7.1
Abzurdah,2015,tt4413338,5.4
Acapulco La vida va,2016,N/A_Not_Found,N/A_Not_Found
Accepted,2006,tt0384793,6.4
Accident,2009,tt1202514,6.6
Accidentally in Love,2018,tt9077184,7.4
Accomplice,2021,tt12040872,N/A
Across Grace Alley,2013,tt2813432,6.0
Across The Line,2015,tt4295258,5.4
Across the Universe,2007,tt0445922,7.3
Act of Valor,2012,tt1591479,6.4
Act of Vengeance,2010,tt1686039,5.7
Action Replayy,2010,tt1396208,4.3
Acts of Vengeance,2017,tt6288694,5.7
Acts of Violence,2018,tt6684714,5.3
Ad Vitam,2018,tt8548830,6.4
Adam Devine: Best Time of Our Lives,2019,tt10376844,5.9
Adam Ruins Everything,2018,N/A_Not_Found,N/A_Not_Found
ADAM SANDLER 100% FRESH,2018,tt9036126,7.6
Adam: His Song Continues,1986,tt0090589,7.0
Addicted to Life,2014,tt4242982,6.3
Adel Karam: Live from Beirut,2018,tt8081748,5.3
Adhugo,2018,tt7822454,5.9
Aditi Mittal: Things They Wouldn't Let Me Say,2017,tt7127976,4.5
Adore,2013,tt2103267,6.2
Adrift,2018,tt6306064,6.6
Adrishya,2017,tt7476874,3.3
Adú,2020,tt9616700,6.8
Advantageous,2015,tt3090670,6.1
Adventures in Public School,2018,N/A_Not_Found,N/A_Not_Found
Aelay,2021,tt10275546,7.0
Æon Flux,2005,tt0402022,5.4
Aerials,2016,tt5314138,1.5
Afflicted,2018,tt8792570,5.2
Afonso Padilha: Classless,2020,tt12930476,6.8
Africa,2013,tt2571774,8.9
African America,2021,tt13920016,5.8
Afronta! Facing It!,2017,N/A_Not_Found,N/A_Not_Found
After,2019,tt4126476,5.3
After Life,2020,tt12304434,N/A
After Maria,2019,tt10136680,4.9
After Porn Ends,2012,tt1291547,5.7
After Porn Ends 3,2018,tt7681970,5.4
After the Raid,2019,tt11324024,4.7
After We Collided,2020,tt10362466,5.1
Afterlife of the Party,2021,tt11742798,5.8
Aftermath,2021,tt10691162,5.3
Afterschool,2008,tt1224366,6.0
Aftershock,2012,tt1780762,4.8
Against the Tide,2014,tt7131682,7.3
Agatha and the Truth of Murder,2018,tt9381998,6.3
Agatha Christie's Crooked House,2017,N/A_Not_Found,N/A_Not_Found
Age Gap Love,2017,N/A_Not_Found,N/A_Not_Found
Age of Glory,2010,N/A_Not_Found,N/A_Not_Found
Age of Rebellion,2018,N/A_Not_Found,N/A_Not_Found
Age of Samurai: Battle for Japan,2021,tt10551256,7.4
Age of Tanks,2017,tt8107992,7.3
Agent,2019,tt7678910,7.5
Agent Raghav,2015,tt6792644,5.8
Aggretsuko,2020,N/A_Not_Found,N/A_Not_Found
Aggretsuko: We Wish You a Metal Christmas,2018,N/A_Not_Found,N/A_Not_Found
Agneepath,1990,tt0098999,7.6
Agustín Aristarán: Soy Rada,2018,tt8004552,6.7
Agyaat,2009,tt1415252,3.0
Ahaan,2021,N/A_Not_Found,N/A_Not_Found
Ahista Ahista,2006,tt0831840,6.9
Ai Weiwei: Never Sorry,2012,tt1845773,7.5
Ainori Love Wagon: African Journey,2019,tt11542960,7.4
Ainori Love Wagon: Asian Journey,2018,N/A_Not_Found,N/A_Not_Found
Ainsley Eats the Streets,2014,tt8948164,7.2
Ainu Mosir,2020,tt9140354,6.6
Air Force One,1997,tt0118571,6.5
Air Strike,2018,tt4743226,3.2
Airplane Mode,2020,tt10731748,5.2
Aisa Yeh Jahaan,2015,N/A_Not_Found,N/A_Not_Found
Aitraaz,2004,tt0418460,6.6
Aiyaary,2018,tt6774212,5.3
Aiyyaa,2012,tt2255934,4.4
AJ and the Queen,2020,tt8404094,7.5
Ajab Prem Ki Ghazab Kahani,2009,tt1252596,6.4
Ajaibnya Cinta,2015,N/A_Not_Found,N/A_Not_Found
Ajeeb Daastaans,2021,tt14091818,6.7
AJIN: Demi-Human,2016,N/A_Not_Found,N/A_Not_Found
Ajji,2017,tt6471054,6.9
AK vs AK,2020,tt11651796,6.9
Akame ga Kill!,2014,tt3742982,7.8
Akbar Birbal,2019,N/A_Not_Found,N/A_Not_Found
Akulah Balqis,2015,N/A_Not_Found,N/A_Not_Found
Al acecho,2019,tt11287390,5.0
Al Hayba,2017,tt7035576,7.2
Ala Vaikunthapurramuloo,2020,tt9537292,7.3
Alakada Reloaded,2017,tt13275228,N/A
Alan Saldaña: Locked Up,2021,tt14599924,N/A
Alan Saldaña: Mi vida de pobre,2017,tt7183082,6.3
Alarmoty in the Land of Fire,2017,tt10497352,4.1
Alaska Is a Drag,2017,tt4341390,6.6
Albert Pinto Ko Gussa Kyun Aata Hai?,2019,tt4355838,5.1
Albion: The Enchanted Stallion,2016,tt4518260,5.2
Alejandro Riaño: Especial de stand up,2018,tt7607558,5.1
Alejandro Sanz: What I Was Is What I Am,2018,N/A_Not_Found,N/A_Not_Found
Alelí,2019,tt10984818,6.3
Alex Fernández: The Best Comedian in the World,2020,tt11497900,6.4
Alex Strangelove,2018,tt5688996,6.3
Alexa & Katie,2020,N/A_Not_Found,N/A_Not_Found
Alexandria ... Why?,1979,tt0077751,7.2
Alexandria: Again and Forever,1989,tt0099858,6.5
Alexis Viera: A Story of Surviving,2019,tt10177712,7.1
Ali & Alia,2019,tt9859758,5.0
Ali & Ratu Ratu Queens,2021,N/A_Not_Found,N/A_Not_Found
Ali Baba ve 7 Cüceler,2015,N/A_Not_Found,N/A_Not_Found
Ali Wong: Baby Cobra,2016,tt5066574,7.5
Ali Wong: Hard Knock Wife,2018,tt7410684,7.3
Alias Grace,2017,tt1034007,7.6
"Alias JJ, la celebridad del mal",2017,tt28789130,N/A
Alibaba Aur 40 Chor,1980,N/A_Not_Found,N/A_Not_Found
Alice Doesn't Live Here Anymore,1974,tt0071115,7.3
Alice in Borderland,2020,tt10795658,7.8
Alice Junior,2019,tt8217188,6.9
Alien Contact: Outer Space,2017,tt7130832,3.9
Alien TV,2021,N/A_Not_Found,N/A_Not_Found
Alien Warfare,2019,tt9562694,2.6
Alien Worlds,2020,tt13464340,6.6
Alien Xmas,2020,tt11332750,6.2
Aliens Ate My Homework,2018,tt6624126,4.6
Aliens Stole My Body,2020,tt12517908,3.5
Ali's Wedding,2018,N/A_Not_Found,N/A_Not_Found
Alive and Kicking,2016,tt4329394,7.2
All About Love,2017,tt7324726,4.2
All About Nina,2018,tt7542576,6.2
All About the Washingtons,2018,tt7661368,4.8
All American,2021,N/A_Not_Found,N/A_Not_Found
All Because of You,2020,tt13106900,4.1
All Day and a Night,2020,tt3993886,6.0
All Dogs Go to Heaven,1989,tt0096787,6.8
All For Love,2020,tt10347886,6.8
All Good Ones Get Away,2019,N/A_Not_Found,N/A_Not_Found
All Hail King Julien,2017,tt6865906,7.4
All Hail King Julien: Exiled,2017,tt6865906,7.4
All Hallows' Eve,2016,tt4906686,5.0
All In My Family,2019,tt9097148,6.8
All Light Will End,2018,tt6023386,3.8
All My Friends Are Dead,2020,tt13723064,5.9
All of You,2017,tt7736536,5.6
All the Boys Love Mandy Lane,2006,tt0490076,5.5
All The Bright Places,2020,tt3907584,6.6
All the Devil's Men,2018,tt6012244,5.1
All the Freckles in the World,2020,N/A_Not_Found,N/A_Not_Found
All The Reasons To Forget,2017,N/A_Not_Found,N/A_Not_Found
All Together Now,2020,tt3155342,6.5
Alles ist gut,2019,N/A_Not_Found,N/A_Not_Found
AllI Wish,2017,N/A_Not_Found,N/A_Not_Found
"All's Well, End's Well (2009)",2009,N/A_Not_Found,N/A_Not_Found
Alma Matters,2021,tt14512938,8.2
Almost Happy,2020,tt12146940,6.9
Almost Love,2020,N/A_Not_Found,N/A_Not_Found
Alone,2019,tt9062580,N/A
Alone in Berlin,2016,tt3026488,6.5
Alone/Together,2019,tt9526822,6.4
Along Came a Spider,2001,tt0164334,6.4
Alpha and Omega 2: A Howl-iday Adventure,2013,tt3111728,5.0
Alpha and Omega: The Legend of the Saw Tooth Cave,2014,N/A_Not_Found,N/A_Not_Found
Alphablocks,2014,N/A_Not_Found,N/A_Not_Found
AlphaGo,2017,tt6700846,7.8
AlRawabi School for Girls,2021,tt10183912,7.1
Altered Carbon,2020,tt9310328,6.4
Altered Carbon: Resleeved,2020,tt9310328,6.4
Alt-Right: Age of Rage,2018,tt7980006,6.3
Always a Bridesmaid,2019,tt10108544,5.7
Always a Witch,2019,tt8001250,6.3
Always Be My Maybe,2016,tt5341036,6.5
Amanda Knox,2016,tt5952332,6.9
Amandla! A Revolution in Four Part Harmony,2002,N/A_Not_Found,N/A_Not_Found
Amar,2017,tt5479616,5.1
Amar Akbar & Tony,2015,tt2901006,5.2
Amar Akbar Anthony,1977,tt0075669,7.4
Amar's Hands,2011,N/A_Not_Found,N/A_Not_Found
Amateur,2018,tt5580392,5.9
Amazing Interiors,2018,tt8747342,6.6
Amelia: A Tale of Two Sisters,2017,N/A_Not_Found,N/A_Not_Found
Amend: The Fight for America,2021,tt13972246,8.0
America: The Motion Picture,2021,tt6733874,5.6
American Anarchist,2016,tt6032170,5.9
American Assassin,2017,tt1961175,6.2
American Beauty,1999,tt0169547,8.3
American Circumcision,2017,tt7628146,7.2
American Crime,2017,tt8010592,7.7
American Crime Story: The People v. O.J. Simpson,2016,N/A_Not_Found,N/A_Not_Found
American Experience: Ruby Ridge,2017,N/A_Not_Found,N/A_Not_Found
American Experience: The Circus,2018,N/A_Not_Found,N/A_Not_Found
American Experience: The Island Murder,2018,N/A_Not_Found,N/A_Not_Found
American Factory,2019,tt9351980,7.4
American Factory: A Conversation with the Obamas,2019,tt10937318,5.1
American Hangman,2019,tt8975028,5.9
American Heist,2014,tt2923316,5.0
American History X,1998,tt0120586,8.5
American Honey,2016,tt3721936,7.0
American Horror Story,2019,tt15331348,7.6
American Masters: Inventing David Geffen,2012,N/A_Not_Found,N/A_Not_Found
American Masters: Ted Williams,2018,N/A_Not_Found,N/A_Not_Found
American Me,1992,tt0103671,7.1
American Murder: The Family Next Door,2020,tt12987894,7.2
American Odyssey,2015,tt3551796,7.3
American Outlaws,2001,tt0244000,5.9
American Pie 9: Girls' Rules,2020,N/A_Not_Found,N/A_Not_Found
American Psycho,2000,tt0144084,7.6
American Son,2019,tt9664078,5.9
American Ultra,2015,tt3316948,6.1
American Vandal,2018,N/A_Not_Found,N/A_Not_Found
American Warfighter,2019,N/A_Not_Found,N/A_Not_Found
American Woman,2019,tt9109492,5.1
America's Book of Secrets,2014,N/A_Not_Found,N/A_Not_Found
America's Next Top Model,2013,tt3181410,N/A
Amit Tandon: Family Tandoncies,2019,tt11262978,7.1
AMO,2017,tt7218736,6.4
Among Family,2017,N/A_Not_Found,N/A_Not_Found
Amrapali,1966,tt0060104,6.7
Amy,2015,tt2870648,7.8
Amy Schumer Growing,2019,tt9770590,5.5
Amy Schumer: The Leather Special,2017,tt6616074,3.2
Amy Tan: Unintended Memoir,2021,tt10393074,7.8
An American Girl: McKenna Shoots for the Stars,2012,N/A_Not_Found,N/A_Not_Found
An American in Madras,2013,tt3279468,7.2
An American Tail,1986,tt0090633,6.9
An American Tail: Fievel Goes West,1991,tt0101329,6.5
An American Tail: The Mystery of the Night Monster,1999,tt0197230,6.0
An American Tail: The Treasures of Manhattan Island,2000,N/A_Not_Found,N/A_Not_Found
An Easy Girl,2019,tt9632590,5.6
An Egyptian Story,1982,tt0084042,7.3
An Evening with Beverly Luff Linn,2018,tt6518270,5.8
An Hour and a Half,2012,N/A_Not_Found,N/A_Not_Found
An Imperfect Murder,2017,tt6469960,2.9
An Innocent Mistake,2012,tt3866494,6.9
An Interview with God,2018,tt5779372,5.8
An Ordinary Man,2017,tt1785288,5.7
An Unfinished Life,2005,tt0350261,7.0
An Unremarkable Christmas,2020,tt13607632,3.4
An Upper Egyptian,2014,tt5837152,3.1
Ana e Vitória,2018,tt8583378,6.3
Anaamika,2014,tt2939898,5.5
Anarkali of Aarah,2017,N/A_Not_Found,N/A_Not_Found
Anchor and Hope,2017,tt5981304,6.3
Anchor Baby,2010,tt1666555,6.5
Ancient Aliens,2018,N/A_Not_Found,N/A_Not_Found
And Breathe Normally,2018,tt6776106,6.9
And Then Came Lola,2009,tt1123894,4.0
And Tomorrow the Entire World,2020,tt7716120,6.0
Andaleeb El Dokki,2008,N/A_Not_Found,N/A_Not_Found
Andaz Apna Apna,1994,tt0109117,8.0
Andhadhun,2018,tt8108198,8.2
Andhaghaaram,2020,tt9110340,7.5
Andhakaaram,2020,N/A_Not_Found,N/A_Not_Found
André & his olive tree,2020,tt13610390,6.7
Anelka: Misunderstood,2020,tt12724622,6.4
Anesthesia,2015,tt3317208,6.1
Angamaly Diaries,2017,tt6167894,7.9
Angel Beats!,2010,tt1639109,7.6
Angel Eyes,2001,tt0225071,5.7
Angel Has Fallen,2019,tt6189022,6.4
Angel 'N' Devil,2014,tt6273196,5.0
Angela's Christmas,2018,N/A_Not_Found,N/A_Not_Found
Angela's Christmas Wish,2020,tt13260836,7.1
Angelina Ballerina,2010,tt2443014,N/A
Angels & Demons,2009,tt0808151,6.7
